proposed_claim,supported_yes_no,supporting_results,caveats,allowed_wording,prohibited_wording
Study structure explains more Aitchison-space variation than CRC/control status.,yes,study_label partial/marginal R2=0.0802; CRC_status partial/marginal R2=0.0051,Complete-case processed CLR matrix; effect size is modest and cohort embedded.,"Study structure explained more retained CLR variation than CRC/control status, motivating cohort-aware analysis.",CRC status is unimportant or absent.
Pooled association strength and cross-cohort direction stability select partially overlapping but non-identical taxa.,yes,"Training-only and full-data panels show incomplete overlaps with global top29, stable29, and high-consistency panels.",Overlap depends on FDR and same-direction thresholds.,Association-ranked and stability-ranked signals were partially overlapping but non-identical.,All association signals are stable across cohorts.
Transferability-aware panels are more conservative than pooled-q panels.,partial,"The training-only >=60% stability panel converged with the training-only top29-q panel in these folds, whereas the stricter high-consistency panel selected 18 taxa.","Conservative applies mainly to stricter high-consistency prioritization and interpretability, not to improved AUROC.","Stricter transferability-aware prioritization produced a more conservative shortlist, while the >=60% stability panel did not separate from the top-q panel in leakage-aware LOSO.",Transferability-aware panels are universally more accurate.
Transferability-aware panels outperform pooled-q panels.,no,Leakage-aware paired AUROC comparison does not support this claim.,Performance claims require fold-level evidence and should remain exploratory.,Association ranking and portability diverged under cohort shift.,The stable panel outperformed the pooled-q panel.
Stable panels reduce cohort dependence.,partial,"Panel transferability loss and random comparisons provide context, but AUROC improvements are not guaranteed.",Cohort dependence remains visible in LOSO and pairwise transfer.,Stable panels changed the portability profile and support conservative prioritization.,Stable panels eliminate cohort effects.
Ecological guild scores provide interpretable axes.,yes,Guild random-effects table includes 3 taxonomy-defined panels with Hedges g summaries.,Taxonomy-defined panels only; no functional activity measurement.,Taxonomy-defined guild scores provided conservative ecological context.,Guild scores prove metabolite production or inflammatory function.
Oral-associated taxa explain the stable CRC candidate set.,no,Only partial overlap; oral/pathobiont guild score is contextual.,Taxonomy-name panel cannot infer oral origin.,Oral/pathobiont-associated taxa contributed one interpretable context axis.,Oral taxa explain the CRC signature or demonstrate oral transmission.
Results support clinical diagnostic use.,no,Analyses are separability and transferability stress tests on public processed tables.,No independent clinical validation or calibration.,The results support processed-data separability and candidate prioritization.,The panel is clinically diagnostic or ready for screening.
Results support causal or mechanistic inference.,no,"No intervention, longitudinal causal design, mechanistic assay, or raw-read functional analysis.",Associational processed-data reanalysis only.,The findings are consistent with processed-data associations.,Taxa cause CRC or mechanistically drive CRC.
"Results support raw-read, strain-level, or functional claims.",no,"No raw reads, strain profiling, or functional profiling were analyzed.",Processed species-level relative abundance matrix only.,"Raw-read, strain-level, and functional extensions require separate data processing.","The study identifies strains, functions, or raw-read-derived mechanisms."
